,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,2024
KOTA JAMBI,1.85,1.72,1.72,1.72,1.72,1.72,0.9,1.47,1.47,1.47,1.47,1.48,-,3.27,2.82,2.82,2.82,2.82,2.82,0.21,2.16,2.16,2.16,2.16,2.16,-,0.0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.1,-,0.26,0.26,0.26,0.26,0.26,0.26,0,0,0,0,0,0,-,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,5.43,-,2024.0
KAB OGAN KOMERING ILIR,5.77,4.57,4.57,4.57,2.23,2.23,1.61,1.61,1.77,1.77,1.77,1.77,-,0.0,0,0,0,0,0,2.07,2.07,2.07,2.07,2.07,2.07,-,0.0,0,0,0,0,0,4.48,4.48,5.04,5.04,5.04,5.04,-,0,0,0,0,0,0,0,0,0,0,0,0,-,29.41,22.22,22.22,22.22,10,10,0,0,0,0,0,0,-,2024.0
KAB MUARA ENIM,0.0,0,0,0,0,0,0.59,0.59,0.59,0.59,0.59,0.59,-,0.0,0,0,0,0,0,1.11,1.11,1.11,1.11,1.11,1.11,-,0.0,0,0,0,0,0,1.34,1.34,1.34,1.34,1.34,1.34,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA PALEMBANG,2.13,1.57,1.53,1.53,1.53,1.53,3.21,1.95,1.95,1.95,2,2,-,0.58,0.58,0.39,0.39,0.39,0.39,4.25,4.01,4.01,4.01,4.01,4.01,-,4.37,4.37,4.37,4.37,4.37,4.37,4.37,0.08,0.08,0.08,0.08,0.08,-,0,0,0,0,0,0,0,0,0,0,0,0,-,5.55,1.52,1.52,1.52,1.52,1.52,7.78,7.78,7.78,7.78,8.17,8.17,-,2024.0
KOTA LUBUK LINGGAU,1.77,1.77,1.77,1.77,1.77,1.77,2.14,1.2,1.78,1.78,1.78,1.78,-,1.41,1.41,1.41,1.41,1.41,1.41,2.42,2.42,2.42,2.42,2.42,2.42,-,0.54,0.54,0.54,0.54,0.54,0.54,0.31,0.31,0.31,0.31,0.31,0.31,-,2.57,2.57,2.57,2.57,2.57,2.57,2.57,0,1.58,1.58,1.58,1.58,-,2.32,2.32,2.32,2.32,2.32,2.32,3.69,3.69,3.69,3.69,3.69,3.69,-,2024.0
KAB MUKO MUKO,3.87,3.87,3.87,3.87,3.87,3.87,5.72,2.56,2.57,2.57,2.57,2.57,-,0.0,0,0,0,0,0,10,13.16,13.16,13.16,13.16,13.16,-,0.0,0,0,0,0,0,-1.58,-1.56,-1.54,-1.54,-1.54,-1.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.62,12.62,12.62,12.62,12.62,12.62,12.62,0,0,0,0,0,-,2024.0
KOTA BENGKULU,1.36,1.36,1.36,1.36,1.13,1.13,1.38,0.84,0.84,1.82,1.82,1.82,-,0.66,0.66,0.66,0.66,0.66,0.66,2.54,1.87,1.87,1.87,1.87,1.87,-,0.24,0.24,0.24,0.24,0.24,0.24,0.88,0.64,0.64,0.64,0.64,0.64,-,0,0,0,0,0,0,0,0,0,2.74,2.74,2.74,-,6.31,6.31,6.31,6.31,5.03,5.03,3.11,1.34,1.34,1.34,1.34,1.34,-,2024.0
KAB LAMPUNG TIMUR,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB MESUJI,0.64,0.64,0.64,0.22,0.22,0.22,0.22,9.19,9.12,8.95,8.95,8.95,-,2.74,2.74,2.74,0.93,0.93,0.93,0.93,-0.57,-0.88,-1.49,-1.49,-1.49,-,0.0,0,0,0,0,0,0,21.29,21.29,21.29,21.29,21.29,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2024.0
KOTA BANDAR LAMPUNG,3.69,3.69,3.69,3.69,3.69,3.77,3.08,2.26,7.21,7.26,7.26,7.26,-,6.86,6.86,6.86,6.86,6.86,6.86,3.45,1.07,1.07,1.07,1.07,1.07,-,4.54,4.54,4.54,4.54,4.54,4.54,4.54,3.45,3.45,3.45,3.45,3.45,-,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,16.4,16.4,16.4,16.4,-,0.69,0.69,0.69,0.69,0.69,1.37,0.94,0.94,0.94,1.39,1.39,1.39,-,2024.0
